time,Serving_gNB_UE_Throughput,Source_gNB,Target_gNB,Target_gNB_UE_Throughput,ue-id
2024-05-24T07:47:27.155517Z,0.0,2,6,0.0,6
2024-05-24T07:47:30.936397Z,0.0,2,5,13624.0,8
2024-05-24T07:47:34.617067Z,0.0,2,6,524.0,10
2024-05-24T07:47:45.675168Z,524.0,2,6,29327.0,1
2024-05-24T07:47:49.385724Z,0.0,2,4,5240.0,9
2024-05-24T07:48:06.487976Z,71788.0,5,7,74932.0,8
2024-05-24T07:48:18.357362Z,0.0,6,5,0.0,4
2024-05-24T07:48:21.470022Z,56591.0,7,2,0.0,8
2024-05-24T07:48:21.496517Z,0.0,2,7,0.0,8
2024-05-24T07:48:24.752561Z,0.0,7,2,0.0,8
2024-05-24T07:48:24.756481Z,0.0,4,2,2096.0,9
2024-05-24T07:48:32.493837Z,0.0,6,2,1048.0,1
2024-05-24T07:49:09.375060Z,524.0,6,2,2082.0,10
2024-05-24T07:49:46.540509Z,14672.0,5,6,0.0,4
2024-05-24T07:49:48.804733Z,0.0,6,2,0.0,4
2024-05-24T07:49:48.828787Z,0.0,2,6,0.0,4
2024-05-24T07:49:51.241405Z,0.0,6,2,0.0,4
2024-05-24T07:49:57.829480Z,0.0,2,7,0.0,1
2024-05-24T07:50:14.029288Z,15196.0,7,6,0.0,1
2024-05-24T07:50:54.593618Z,22532.0,7,2,16244.0,5
2024-05-24T07:50:57.783909Z,0.0,2,6,0.0,10
2024-05-24T07:50:57.788015Z,16244.0,2,7,34584.0,5
2024-05-24T07:51:14.242291Z,26200.0,2,6,34060.0,4
2024-05-24T07:51:21.245514Z,26200.0,6,2,34060.0,4
2024-05-24T07:51:27.158017Z,26200.0,6,2,0.0,1
2024-05-24T07:51:36.677696Z,27248.0,2,7,23056.0,4
2024-05-24T07:51:39.567709Z,524.0,7,4,0.0,5
2024-05-24T07:52:01.671664Z,0.0,4,7,524.0,5
2024-05-24T07:52:07.952434Z,11004.0,6,3,9432.0,2
2024-05-24T07:52:07.959769Z,16768.0,7,6,15719.0,4
2024-05-24T07:52:10.238886Z,18864.0,2,7,0.0,3
2024-05-24T07:52:16.718056Z,524.0,6,7,0.0,10
2024-05-24T07:52:21.544470Z,29726.0,7,4,18864.0,10
2024-05-24T07:52:24.026897Z,14672.0,3,6,15196.0,2
2024-05-24T07:52:33.887216Z,20960.0,4,2,15719.0,10
2024-05-24T07:52:38.962611Z,1048.0,2,4,5240.0,7
2024-05-24T07:53:04.238349Z,15719.0,2,5,0.0,10
2024-05-24T07:53:12.696611Z,55544.0,5,7,20436.0,10
2024-05-24T07:53:20.009400Z,18864.0,6,2,18864.0,6
2024-05-24T07:53:28.880690Z,4192.0,7,2,16768.0,10
2024-05-24T07:54:03.739956Z,4716.0,2,4,16244.0,9
2024-05-24T07:54:03.754444Z,19912.0,2,7,20436.0,10
2024-05-24T07:54:23.592671Z,1048.0,2,6,524.0,6
2024-05-24T07:54:26.857763Z,0.0,4,2,3668.0,7
2024-05-24T07:54:36.881475Z,0.0,6,2,0.0,4
2024-05-24T07:54:36.888695Z,0.0,6,2,0.0,6
2024-05-24T07:54:51.627538Z,0.0,2,6,0.0,6
2024-05-24T07:54:55.367804Z,17816.0,7,3,6812.0,5
2024-05-24T07:55:07.374083Z,0.0,6,2,3144.0,6
2024-05-24T07:55:23.756090Z,3144.0,2,6,6288.0,1
2024-05-24T07:55:53.598960Z,13100.0,7,6,4716.0,3
2024-05-24T07:56:04.681802Z,14147.0,6,2,8384.0,3
2024-05-24T07:56:04.716066Z,8384.0,2,6,0.0,3
2024-05-24T07:56:07.062839Z,0.0,6,2,1048.0,3
2024-05-24T07:56:12.702359Z,0.0,6,2,2096.0,1
2024-05-24T07:57:00.254251Z,18864.0,3,2,11528.0,5
2024-05-24T07:57:04.806911Z,0.0,2,7,1572.0,3
2024-05-24T07:58:19.519999Z,1572.0,2,5,3144.0,7
2024-05-24T07:58:39.560499Z,18864.0,4,5,0.0,9
2024-05-24T07:58:47.237579Z,11004.0,7,2,12052.0,10
2024-05-24T07:58:57.450899Z,524.0,2,6,0.0,6
2024-05-24T07:59:00.721673Z,0.0,2,7,0.0,5
2024-05-24T07:59:22.297133Z,1572.0,2,4,7859.0,8
2024-05-24T07:59:52.304793Z,0.0,4,2,1572.0,8
2024-05-24T07:59:52.314452Z,18340.0,7,3,27772.0,5
2024-05-24T07:59:52.334479Z,18864.0,2,5,0.0,10
2024-05-24T07:59:57.042871Z,18864.0,5,4,18864.0,9
2024-05-24T08:00:28.903506Z,18864.0,2,5,24104.0,4
2024-05-24T08:00:42.599268Z,22532.0,3,7,20960.0,5
2024-05-24T08:00:51.902434Z,18864.0,5,6,0.0,4
2024-05-24T08:01:06.809671Z,18340.0,4,3,25676.0,9
2024-05-24T08:01:17.077992Z,18864.0,7,5,18864.0,5
2024-05-24T08:01:17.099434Z,18864.0,5,7,0.0,5
2024-05-24T08:01:21.666802Z,24104.0,5,4,9956.0,7
2024-05-24T08:01:21.669327Z,39824.0,3,4,9432.0,9
