time,DRB.UEThpDl,RF.serving.RSRP,RF.serving.RSRQ,RF.serving.RSSINR,RRU.PrbUsedDl,Viavi.UE.anomalies,du-id,nbCellIdentity_0,nbCellIdentity_1,nbCellIdentity_2,nbCellIdentity_3,nbCellIdentity_4,nrCellIdentity,prb_usage,rsrp_nb0,rsrp_nb1,rsrp_nb2,rsrp_nb3,rsrp_nb4,rsrq_nb0,rsrq_nb1,rsrq_nb2,rsrq_nb3,rsrq_nb4,rssinr_nb_0,rssinr_nb_1,rssinr_nb_2,rssinr_nb_3,rssinr_nb_4,targetTput,ue-id,x,y
2024-05-24T07:13:51.070489Z,20960.0,0,0,66.0,0,1,6,7,5,4,2,3,6,32,0,0,0,0,0,0,0,0,0,0,24.0,21.0,8.0,0.0,0.0,0.25,6,1413,1574
2024-05-24T07:13:51.073514Z,21484.0,0,0,66.0,0,1,7,2,6,3,5,4,7,85,0,0,0,0,0,0,0,0,0,0,144.0,39.0,27.0,11.0,0.0,0.25,1,1974,1674
2024-05-24T07:13:51.075453Z,20960.0,0,0,32.0,0,1,7,2,4,3,6,5,7,0,0,0,0,0,0,0,0,0,0,0,33.0,17.0,15.0,10.0,0.0,0.25,5,2176,1727
2024-05-24T07:13:53.011514Z,7336.0,0,0,67.0,0,0,2,6,7,3,4,5,2,21,0,0,0,0,0,0,0,0,0,0,56.0,25.0,23.0,19.0,0.0,0.25,3,1736,1627
2024-05-24T07:13:53.014108Z,1048.0,0,0,60.0,0,0,2,7,6,4,3,5,2,23,0,0,0,0,0,0,0,0,0,0,117.0,40.0,36.0,26.0,0.0,0.25,7,2007,1389
2024-05-24T07:13:53.016165Z,524.0,0,0,38.0,0,0,2,5,4,7,6,3,2,20,0,0,0,0,0,0,0,0,0,0,38.0,14.0,9.0,8.0,0.0,0.25,8,1697,2387
2024-05-24T07:13:53.018463Z,6812.0,0,0,60.0,0,0,2,3,6,5,7,4,2,19,0,0,0,0,0,0,0,0,0,0,114.0,8.0,0.0,0.0,0.0,0.25,10,2647,2000
2024-05-24T07:13:53.024130Z,22532.0,0,0,61.0,0,0,4,7,5,2,3,6,4,82,0,0,0,0,0,0,0,0,0,0,40.0,25.0,25.0,9.0,7.0,0.25,9,2122,2256
2024-05-24T07:13:53.028762Z,8384.0,0,0,55.0,0,0,6,2,7,5,3,4,6,72,0,0,0,0,0,0,0,0,0,0,41.0,33.0,18.0,0.0,0.0,0.25,4,1739,1517
2024-05-24T07:13:53.030882Z,17816.0,0,0,28.0,0,0,6,7,4,5,2,3,6,13,0,0,0,0,0,0,0,0,0,0,25.0,12.0,12.0,0.0,0.0,0.25,6,1861,1574
2024-05-24T07:13:53.035218Z,24104.0,0,0,67.0,0,0,7,2,6,3,5,4,7,85,0,0,0,0,0,0,0,0,0,0,127.0,39.0,27.0,8.0,0.0,0.25,1,1972,1644
2024-05-24T07:13:53.037756Z,6288.0,0,0,28.0,0,0,7,2,3,4,6,5,7,0,0,0,0,0,0,0,0,0,0,0,32.0,16.0,14.0,13.0,3.0,0.25,5,2269,1682
2024-05-24T07:13:54.972329Z,3668.0,0,0,67.0,0,0,2,6,7,3,4,5,2,21,0,0,0,0,0,0,0,0,0,0,55.0,24.0,20.0,20.0,3.0,0.25,3,1736,1627
2024-05-24T07:13:54.975495Z,5240.0,0,0,61.0,0,0,2,7,6,4,3,5,2,21,0,0,0,0,0,0,0,0,0,0,149.0,42.0,36.0,22.0,0.0,0.25,7,2045,1346
2024-05-24T07:13:54.978425Z,524.0,0,0,39.0,0,0,2,5,7,4,6,3,2,21,0,0,0,0,0,0,0,0,0,0,36.0,14.0,13.0,6.0,0.0,0.25,8,1697,2115
2024-05-24T07:13:54.980537Z,7859.0,0,0,58.0,0,0,2,3,6,7,5,4,2,21,0,0,0,0,0,0,0,0,0,0,131.0,8.0,0.0,0.0,0.0,0.25,10,2722,2000
2024-05-24T07:13:54.985464Z,20436.0,0,0,61.0,0,0,4,7,2,5,3,6,4,83,0,0,0,0,0,0,0,0,0,0,39.0,25.0,25.0,11.0,7.0,0.25,9,2252,2259
2024-05-24T07:13:54.990187Z,8384.0,0,0,58.0,0,0,6,2,7,5,3,4,6,85,0,0,0,0,0,0,0,0,0,0,37.0,33.0,26.0,0.0,0.0,0.25,4,1716,1473
2024-05-24T07:13:54.992460Z,18864.0,0,0,26.0,0,0,6,7,4,5,2,3,6,0,0,0,0,0,0,0,0,0,0,0,24.0,15.0,10.0,0.0,0.0,0.25,6,1861,1574
2024-05-24T07:13:54.996912Z,21484.0,0,0,69.0,0,0,7,2,6,3,5,4,7,85,0,0,0,0,0,0,0,0,0,0,143.0,37.0,25.0,3.0,0.0,0.25,1,1974,1674
2024-05-24T07:13:54.999955Z,11004.0,0,0,29.0,0,0,7,2,4,6,3,5,7,0,0,0,0,0,0,0,0,0,0,0,33.0,16.0,15.0,14.0,0.0,0.25,5,2154,1841
2024-05-24T07:13:56.889661Z,7336.0,0,0,65.0,0,0,2,6,4,7,3,5,2,21,0,0,0,0,0,0,0,0,0,0,57.0,25.0,24.0,19.0,0.0,0.25,3,1736,1920
2024-05-24T07:13:56.892100Z,5764.0,0,0,61.0,0,0,2,7,6,4,3,5,2,21,0,0,0,0,0,0,0,0,0,0,110.0,40.0,33.0,23.0,0.0,0.25,7,2007,1389
2024-05-24T07:13:56.894132Z,524.0,0,0,40.0,0,0,2,5,6,4,7,3,2,21,0,0,0,0,0,0,0,0,0,0,128.0,11.0,10.0,10.0,0.0,0.25,8,1380,2379
2024-05-24T07:13:56.896112Z,6812.0,0,0,63.0,0,0,2,3,6,5,7,4,2,21,0,0,0,0,0,0,0,0,0,0,116.0,8.0,3.0,0.0,0.0,0.25,10,2647,2000
2024-05-24T07:13:56.900179Z,21484.0,0,0,62.0,0,0,4,7,2,5,6,3,4,80,0,0,0,0,0,0,0,0,0,0,42.0,26.0,24.0,11.0,10.0,0.25,9,2257,2158
2024-05-24T07:13:56.904263Z,9432.0,0,0,55.0,0,0,6,2,7,5,3,4,6,85,0,0,0,0,0,0,0,0,0,0,38.0,35.0,29.0,0.0,0.0,0.25,4,1716,1473
2024-05-24T07:13:56.906074Z,22008.0,0,0,30.0,0,0,6,7,4,5,2,3,6,0,0,0,0,0,0,0,0,0,0,0,26.0,13.0,13.0,3.0,0.0,0.25,6,1749,1547
2024-05-24T07:13:56.909540Z,26724.0,0,0,68.0,0,0,7,2,6,3,5,4,7,85,0,0,0,0,0,0,0,0,0,0,139.0,38.0,28.0,5.0,0.0,0.25,1,1973,1660
2024-05-24T07:13:56.911496Z,22532.0,0,0,27.0,0,0,7,2,4,3,6,5,7,0,0,0,0,0,0,0,0,0,0,0,32.0,15.0,14.0,10.0,1.0,0.25,5,2154,1841
2024-05-24T07:13:58.812022Z,8384.0,0,0,65.0,0,0,2,6,7,4,3,5,2,20,0,0,0,0,0,0,0,0,0,0,56.0,25.0,22.0,22.0,3.0,0.25,3,1736,1627
